BEAM 1
RFbucket,Slot,Head-On IP1,Head-On IP2,Head-On IP5,Head-On IP8,Head-On Tot,LR IP1,LR IP2,LR IP5,LR IP8,LR Tot
0,1,0,0,0,0,0,0,0,0,0,0
0,5,0,0,0,0,0,0,0,0,0,0
0,9,0,0,0,0,0,0,0,0,0,0
0,13,0,0,0,0,0,0,0,0,0,0
0,62,0,0,1,0,0,0,0,0,0,0
0,66,0,0,1,0,0,0,0,0,0,0
0,70,0,0,1,0,0,0,0,0,0,0
0,74,0,0,1,0,0,0,0,0,0,0
0,80,0,0,1,0,0,0,0,0,0,0
0,84,0,0,1,0,0,0,0,0,0,0
0,88,0,0,1,0,0,0,0,0,0,0
0,92,0,0,1,0,0,0,0,0,0,0
0,98,0,0,1,0,0,0,0,0,0,0
0,102,0,0,1,0,0,0,0,0,0,0
0,106,0,0,1,0,0,0,0,0,0,0
0,110,0,0,1,0,0,0,0,0,0,0
0,116,0,0,1,0,0,0,0,0,0,0
0,120,0,0,1,0,0,0,0,0,0,0
0,124,0,0,1,0,0,0,0,0,0,0
0,128,0,0,1,0,0,0,0,0,0,0
0,134,0,0,1,0,0,0,0,0,0,0
0,138,0,0,1,0,0,0,0,0,0,0
0,142,0,0,1,0,0,0,0,0,0,0
0,146,0,0,1,0,0,0,0,0,0,0
0,152,0,0,1,0,0,0,0,0,0,0
0,156,0,0,1,0,0,0,0,0,0,0
0,160,0,0,1,0,0,0,0,0,0,0
0,164,0,0,1,0,0,0,0,0,0,0
0,170,0,0,1,0,0,0,0,0,0,0
0,174,0,0,1,0,0,0,0,0,0,0
0,178,0,0,1,0,0,0,0,0,0,0
0,182,0,0,1,0,0,0,0,0,0,0
0,188,0,0,1,0,0,0,0,0,0,0
0,192,0,0,1,0,0,0,0,0,0,0
0,196,0,0,1,0,0,0,0,0,0,0
0,200,0,0,1,0,0,0,0,0,0,0
0,232,0,0,1,0,0,0,0,0,0,0
0,236,0,0,1,0,0,0,0,0,0,0
0,240,0,0,1,0,0,0,0,0,0,0
0,244,0,0,1,0,0,0,0,0,0,0
0,250,0,0,1,0,0,0,0,0,0,0
0,254,0,0,1,0,0,0,0,0,0,0
0,258,0,0,1,0,0,0,0,0,0,0
0,262,0,0,1,0,0,0,0,0,0,0
0,268,0,0,1,0,0,0,0,0,0,0
0,272,0,0,1,0,0,0,0,0,0,0
0,276,0,0,1,0,0,0,0,0,0,0
0,280,0,0,1,0,0,0,0,0,0,0
0,286,0,0,1,0,0,0,0,0,0,0
0,290,0,0,1,0,0,0,0,0,0,0
0,294,0,0,1,0,0,0,0,0,0,0
0,298,0,0,1,0,0,0,0,0,0,0
0,304,0,0,1,0,0,0,0,0,0,0
0,308,0,0,1,0,0,0,0,0,0,0
0,312,0,0,1,0,0,0,0,0,0,0
0,316,0,0,1,0,0,0,0,0,0,0
